Position,Company,Location
Senior Market Research Analyst,Pearson,"Boston, MA"
Machine Learning Engineer,Harnham,"Boston, MA"
Sr. Scientist of Model Chracterization,AP Staffing,"Boston, MA"
Electro-Optical Sensor Scientist/Engineer,Physical Sciences Inc.,"Boston, MA"
Computer Vision Research Engineer,General Electric,"Boston, MA 02212"
Lead Data Scientists and Cognitive Software Engineer,State Street,"Boston, MA"
Sr. Research Analyst,Harvard Pilgrim Health Care,"Boston, MA"
Scientist Formulation Development,Vertex Pharmaceuticals,"Boston, MA 02110"
Data Scientist or Sr. Data Scientist,Klein Hersh International,"Boston, MA"
"Senior Research Scientist / Fellow I, Computational Genomics",Vertex,"Boston, MA 02114"
"Senior Research Scientist / Fellow I, Computational Genomics",Vertex Pharmaceuticals,"Boston, MA 02110"
Lead Research Analyst,UnitedHealth Group,"Boston, MA 02298"
Machine Learning Research Engineer,Arm,"Boston, MA"
Associate Principal Operations Research Scientist,Wayfair,"Boston, MA 02116"
Quantitative Equity Research Analyst,State Street,"Boston, MA"
"Quantitative Analyst,VP",State Street,"Boston, MA"
Biopharma Application Scientist,Raindance Partners Recruiting,"Boston, MA"
Lead Operations Research Scientist,Wayfair,"Boston, MA 02116"
Machine Learning Software Engineer — Applied Research,Twitter,"Boston, MA"
Senior Software Engineer,TetraScience,"Boston, MA"
Automation Engineer,Ginkgo Bioworks,"Boston, MA"
"Senior Scientist, Biomolecular Interactions",Merck,"Boston, MA"
Senior Imaging Scientist,Vertex,"Boston, MA 02114"
"Associate Director, Storefront Engineering - Inspire",Wayfair,"Boston, MA 02116"
Finance Analyst - Quantitative Modeling,Santander Bank,"Boston, MA"
Machine Learning Engineer with Java,WinterWyman,"Boston, MA 02111"
Software Development Engineer,Karen Clark & Company,"Boston, MA 02116"
"Senior Scientist Biology, Metabolic Complications, Cardiovascular & Metabolism Discovery (1 of 2)",Johnson & Johnson Family of Companies,"Boston, MA"
Senior Bioinformatics Scientist,Merck,"Boston, MA"
Middle/Senior level Data Engineer,Workbridge Associates,"Boston, MA"
Lead Python Software Engineer IoT,TVision Insights,"Boston, MA"
Senior Imaging Scientist,Vertex Pharmaceuticals,"Boston, MA 02110"
Marketing Research Analyst III,Eastern Bank,"Boston, MA"
"Senior Associate Scientist In Vivo Pharmacology, Metabolic Complications, Cardiovascular & Metabolism Discovery (1 of 2)",Johnson & Johnson Family of Companies,"Boston, MA"
Senior Scientist - GMP - HPLC - Empower - Small Molecule,PPD,"Boston, MA"
Senior Statistical Analyst,Harnham,"Boston, MA"
"Upstream Technology Principal Research Analyst, CERAWeek",IHS Markit,"Boston, MA"
Media Consumption iOS Engineer,Twitter,"Boston, MA"
"Scientist, Process Chemistry",Takeda Pharmaceutical,"Boston, MA"
"Research Scientist/Principal Investigator - Modeling & Simulation - Waltham, MA",Evidera,"Boston, MA"
Lead Backend Engineer,TrueMotion,"Boston, MA"
"Quantitative Analyst-Global Treasury, AVP",State Street,"Boston, MA"
Senior Associate - Cognitive Data Scientist Natural Language Processing,KPMG,"Boston, MA 02110"
"Quantitative Analyst, AVP",State Street,"Boston, MA"
Manager Data Ingest Engineering Group,MassMutual,"Boston, MA 02298"
Computational Lead Scientist - Translational Immunogenomics Lab,Dana-Farber Cancer Institute,"Boston, MA"
Principal Big Data Engineer (Boston),QuantumBlack,"Boston, MA"
"Sr. Scientist, Seismology",AIR Worldwide,"Boston, MA 02116"
QA Engineer,Schireson,"Boston, MA"
Machine Learning Engineer – New Ideas – Boston,Newton Colmore Consulting Ltd,"Boston, MA"
Sr. Data Analyst/Data Lead - Customer Success,Celect,"Boston, MA 02111"
Senior Machine Learning Engineer,MGH & BWH Center for Clinical Data Science,"Boston, MA"
Principal Data Scientist,Darwin Recruitment,"Boston, MA"
Data Engineer with Python Experience,Workbridge Associates,"Boston, MA"
"Associate Analyst, Research Analytics",LPL Financial,"Boston, MA 02298"
Research Scientist Reaction Optimization,Vertex,"Boston, MA 02114"
"Senior Analyst, Research",Initiative for a Competitive Inner City (ICIC),"Boston, MA"
"Software Engineer, Analytics",Humanyze,"Boston, MA 02114"
Bioinformatics Analyst I - Wu Lab,Dana-Farber Cancer Institute,"Boston, MA"
Software Engineer,Harvard University,"Boston, MA"
Senior Backend Engineer (Core App),DataRobot,"Boston, MA 02109"
Propulsion Systems Scientist/Engineer,Physical Sciences Inc.,"Boston, MA"
Associate Scientist,ProClinical,"Boston, MA"
Computer Vision Research Scientist,Amazon Go,"Boston, MA"
Principal Machine Learning Scientist,Cogito Corporation,"Boston, MA 02109"
Research Software Engineer,Massachusetts General Hospital(MGH),"Boston, MA"
Python Software Engineer (IoT),TVision Insights,"Boston, MA"
Research Engineer,Massachusetts General Hospital(MGH),"Boston, MA"
Backend Engineer (MM),DataRobot,"Boston, MA 02109"
Computer Scientist Consultant,Stroz Friedberg,"Boston, MA 02109"
"Senior Scientist, Informatics & Analytics",Merck,"Boston, MA"
Senior Data Engineer / Algo-Dev,Nift Networks,"Boston, MA"
Senior Robotics Scientist,Realtime Robotics,"Boston, MA"
Sr. Data Engineer (Hadoop),Strategic Employment Partners,"Boston, MA"
Senior Scientist - Assay Development,Ginkgo Bioworks,"Boston, MA"
Bioinformatics Scientist- Pedi,Dana-Farber Cancer Institute,"Boston, MA"
Senior Data Engineer / Algo-Dev,Nift,"Boston, MA 02199"
Backend Engineer (Core App),DataRobot,"Boston, MA 02109"
Mid-Level to Senior Data Engineer,Comlinkdata,"Boston, MA 02110"
"Analyst - Pharmaceutical and Medical Products Analytics, New Ventures",McKinsey & Company,"Boston, MA"
Bioinformatics Analyst,GovernmentCIO,"Boston, MA"
Prediction and Behavior Modeling Research Scientist,Aptiv,"Boston, MA"
Senior Quantitative Analyst,Ameriprise Financial,"Boston, MA 02298"
Research Investigator/Scientist I,Takeda Pharmaceutical,"Boston, MA"
Research Scientist Reaction Optimization,Vertex Pharmaceuticals,"Boston, MA 02110"
Scientist Formulation Development,Vertex,"Boston, MA 02114"
Research Scientist Chemical Biology,Vertex,"Boston, MA 02114"
Senior Scientist,Biotech Partners,"Boston, MA"
"Sr Manager, Safety Scientist","Alexion Pharmaceuticals,Inc.","Boston, MA"
Principal Data Engineer - QuantumBlack,McKinsey & Company,"Boston, MA"
Research Scientist Chemical Biology,Vertex Pharmaceuticals,"Boston, MA 02110"
"Senior/Principal Scientist, Metabolism",GQR Global Markets,"Boston, MA"
Research Analyst,Nucleus Research,"Boston, MA"
Associate Machine Learning Scientist,Cogito Corporation,"Boston, MA 02109"
NLP Engineer,UniBit Inc.,"Boston, MA"
Senior Data Scientist,True Fit,"Boston, MA 02109"
Senior Data Scientist - Global online company,Harnham,"Boston, MA"
Director-Data Scientist,AIG,"Boston, MA"
"Data Scientist, Advanced Analytics",Vertex,"Boston, MA 02114"
Data Scientist PhD,Wayfair,"Boston, MA 02116"
Data Scientist,Harnham,"Boston, MA"
Senior Data Scientist,Klaviyo,"Boston, MA"
Data Scientist or Senior Data Scientist - Solaria Labs,Liberty Mutual,"Boston, MA"
Machine Learning Data Scientist,Vertex,"Boston, MA 02114"
Associate Data Analyst,Eaton Vance,"Boston, MA"
Principal Data Scientist,Nanigans,"Boston, MA 02111"
Senior Data Scientist,Wayfair,"Boston, MA 02116"
Quantitative Analyst/Data Scientist,S&P GLOBAL MARKET INTELLIGENCE,"Boston, MA 02110"
"Data Analyst, Business Operations",DataRobot,"Boston, MA 02109"
Data Scientist - AI Start-up,Harnham,"Boston, MA"
Senior Data Scientist,LogMeIn,"Boston, MA 02210"
Amazon Web Services - Machine Learning Scientist,Amazon.com,"Boston, MA"
Senior Data Scientist,ViralGains Inc.,"Boston, MA"
Machine Learning Engineer (Boston),QuantumBlack,"Boston, MA"
Senior Data Scientist / Machine Learning,Nift,"Boston, MA 02199"
Lead Data Scientist,Skyhook Wireless,"Boston, MA 02210"
"Data Scientist, Advanced Analytics",Vertex Pharmaceuticals,"Boston, MA 02110"
Machine Learning Data Scientist,Vertex Pharmaceuticals,"Boston, MA 02110"
Data Scientist,NDT.com,"Boston, MA"
Data Engineer,MGH & BWH Center for Clinical Data Science,"Boston, MA"
Senior Data Scientist - Operations,McKinsey & Company,"Boston, MA"
Machine Learning Scientist,Lightmatter,"Boston, MA"
Sr. Data Scientist,Daley and Associates,"Boston, MA 02111"
Senior Data Scientist,Humana,"Boston, MA"
NLP Applied Scientist,Amazon.com,"Boston, MA"
Research Data Analyst for Mental Health Startup (Non-Profit),Affect Mental Health,"Boston, MA"
Performance Analyst,Social Fulcrum,"Boston, MA"
Software Developer - Data Science and Engineering,Decision Resources Group,"Boston, MA"
Market Research Analyst,Grata Data,"Boston, MA"
Data Scientist,Diverse Lynx,"Boston, MA"
Senior Algorithmic Economist / Data Scientist,Nift Networks,"Boston, MA"
Senior Data Scientist SEM,Darwin Recruitment,"Boston, MA"
Senior Data Scientist / Machine Learning,Nift Networks,"Boston, MA"
Principal Data Scientist (Boston),QuantumBlack,"Boston, MA"
"Research Analyst, Production Technology & Business Development Strategy",Keypoint Intelligence,"Boston, MA"
Principal Data Scientist,Harnham,"Boston, MA"
Data Scientist - Digital Attribution Developer,Nielsen,"Boston, MA"
Senior Data Scientist (Boston),QuantumBlack,"Boston, MA"
Position Tracking and Prediction Scientist,General Electric,"Boston, MA 02212"
Junior Quantitative Analyst,BNY Mellon,"Boston, MA"
Senior Applied Scientist,Amazon.com,"Boston, MA"
Senior Data Scientist,Harnham,"Boston, MA"
Vice President of Engineering and Data Science,eviCore healthcare,"Boston, MA"
"Software Engineer, Machine Learning",Facebook,"Boston, MA"
Data Scientist-Deep Learning,Zylotech,"Boston, MA"
Solution Scientist,TetraScience,"Boston, MA"
Chief Data Scientist,"HaulHub, Inc.","Boston, MA 02116"
Marketing Data Scientist,Procter & Gamble,"Boston, MA 02199"
Principal Data Scientist,Commonwealth of Massachusetts,"Boston, MA"
Data Scientist,Pluralsight,"Boston, MA"
Data Scientist,Bevi,"Boston, MA"
Data Scientist - Natural Language Processing,Amazon.com,"Boston, MA"
Data Scientist,Schireson,"Boston, MA"
"Data Scientist, Algorithms",Wayfair,"Boston, MA 02116"
Data Scientist,S&P Global Ratings,"Boston, MA 02110"
Associate Data Scientist,ENGIE Insight,"Boston, MA"
Data Scientist,Hometap,"Boston, MA"
Customer Facing Data Scientist,DataRobot,"Boston, MA 02109"
Data Scientist,Amazon.com,"Boston, MA"
Data Scientist,Klaviyo,"Boston, MA"
Data Scientist - Summer Intern - University Students,McKinsey & Company,"Boston, MA"
Data Scientist (Product),Spotify,"Boston, MA"
Data Scientist,Massachusetts Eye and Ear Infirmary,"Boston, MA"
Data Scientist,Akili Interactive,"Boston, MA"
Data Scientist,OM1,"Boston, MA"
NLP Data Scientist,Amazon.com,"Boston, MA"
Data Scientist,Neurable,"Boston, MA"
Data Scientist,Peloton,"Boston, MA"
Environmental Scientist (Analytical Data Specialist),Haley & Aldrich,"Boston, MA"
Data Scientist — Applied Research,Twitter,"Boston, MA"
Data Scientist,Chewy,"Boston, MA"
Data Scientist,Celect,"Boston, MA 02111"
Data Scientist,ENGIE Insight,"Boston, MA"
Customer Data Scientist,Ontoforce NV,"Boston, MA"
Data Scientist (Boston),QuantumBlack,"Boston, MA"
Data Scientist,John Hancock,"Boston, MA"
Data Scientist I,Dana-Farber Cancer Institute,"Boston, MA"
Data Scientist,MFS Investment Management,"Boston, MA"
Algorithmic Economist / Data Scientist,Nift,"Boston, MA 02199"
"Data Scientist, AI Services",DataRobot,"Boston, MA 02109"
Data Scientist - Global firm! up to 150K!,Bay Shore Staffing,"Boston, MA"
New Technologies Data Scientist/ Engineer,ClimaCell,"Boston, MA"
Data Scientist,Natixis Investment Managers,"Boston, MA"
Data Scientist,Analysis Group,"Boston, MA"
Data Scientist,Darwin Recruitment,"Boston, MA"
Data Analyst,TrueMotion,"Boston, MA"
Credit Risk Data Scientist,Cognition Financial Corporation,"Boston, MA 02116"
Applied Sports Scientist,Catapult Sports,"Boston, MA"
Data Scientist,Recorded Future,"Boston, MA"
User Research Data Analyst Intern for Mental Health Start-up (non-profit),Affect Mental Health,"Boston, MA"
Atmospheric Data Scientist / Meteorologist,ClimaCell,"Boston, MA 02111"
Sr. Data Scientist,Pluralsight,"Boston, MA"
"Data Scientist, Infrastructure",Facebook,"Boston, MA"
Senior Data Analyst,NORC at the University of Chicago,"Chicago, IL"
Developer / Quantitative Analyst (Entry Level) - Chicago,DV Trading LLC,"Chicago, IL 60642"
Computational Scientist,The University of Chicago,"Chicago, IL"
"Data Scientist / Quantitative Researcher, Systematic Trading",DRW,"Chicago, IL"
Data Scientist,RCG Holdings LLC,"Chicago, IL 60606"
Research Analyst,JLL,"Chicago, IL"
Arity Data Scientist Senior Manager,Allstate,"Chicago, IL 60601"
Entry Level Staff Geologist/Environmental Scientist,AECOM,"Chicago, IL 60664"
"LeadAnalyst,Data Management and Quantitative Analysis",BNY Mellon,"Chicago, IL"
International Research Analyst,Mathematica Policy Research,"Chicago, IL"
Principal Machine Learning Data Scientist - Natural Language Processing,Capital One,"Chicago, IL 60290"
"Senior Data Scientist - Analytics, Strategy and Innovation",Hyatt,"Chicago, IL"
Arity - Senior Data Scientist,Allstate,"Chicago, IL 60601"
D3- Sr. NLP Deep Learning Data Scientist,Allstate,"Chicago, IL 60654"
Arity-Data Scientist-Cons II,Allstate,"Chicago, IL 60601"
"Sr. Research Software Engineer, Front-End, Machine Learning - #08-GR10231",MJK Concepts,"Chicago, IL"
Full Stack JavaScript Engineer,PSM Partners,"Chicago, IL 60614"
"Senior Software Engineer- (Java, Spring, AWS)",Workbridge Associates,"Chicago, IL"
Senior Front End Engineer,Workbridge Associates,"Chicago, IL"
Data Scientist,Uptake,"Chicago, IL"
Data Scientist - NexLP,1871,"Chicago, IL"
Lead Java Engineer,Jobspring Partners,"Chicago, IL"
Senior Electrical Engineer,Burns & McDonnell,"Chicago, IL 60664"
Geospatial Data Scientist,Allstate,"Chicago, IL 60601"
Data Scientist,Motorola Solutions,"Chicago, IL 60604"
Data Scientist,Conversant Media,"Chicago, IL"
Data Scientist,Trunk Club,"Chicago, IL"
Data Scientist,Civis Analytics,"Chicago, IL"
Data Scientist,Fibroblast,"Chicago, IL 60654"
Data Scientist,NORC at the University of Chicago,"Chicago, IL"
Data Scientist,Capax Global LLC,"Chicago, IL"
Natural Language Processing Data Scientist,Tempus,"Chicago, IL 60654"
Data Scientist,Epsilon,"Chicago, IL"
Data Scientist or Data Scientist Lead-PS10595,"Anthem, Inc.","Chicago, IL 60654"
Principal Data Scientist (Chicago),QuantumBlack,"Chicago, IL"
Data Scientist - Human Services,Mathematica Policy Research,"Chicago, IL"
Data Scientist,Kemper Corporation,"Chicago, IL"
"Data Scientist, Data Science",E*TRADE FINANCIAL,"Chicago, IL"
Data Scientist,Equity Residential,"Chicago, IL 60606"
Data Scientist,Maven Wave Partners,"Chicago, IL 60606"
Machine Learning Data Scientist,Wolverine Trading,"Chicago, IL 60604"
"Data Scientist / Quantitative Researcher, Systematic Trading",DRW Trading Group,"Chicago, IL"
"Data Scientist, Optimization",Civis Analytics,"Chicago, IL"
Data Scientist,Nielsen,"Chicago, IL 60647"
Scientist - Data and Statistics,United Airlines Inc.,"Chicago, IL 60601"
Research Data Analyst,Northwestern University,"Chicago, IL"
"Lead Data Scientist, Nike",TBWA\Chiat\Day,"Chicago, IL"
Senior Data Scientist,Trunk Club,"Chicago, IL"
Data Scientist - Applied Technology,Crowe,"Chicago, IL 60601"
"Sr. Data Scientist, Customer Insights",Groupon,"Chicago, IL 60654"
Senior Data Scientist,"SPINS, LLC","Chicago, IL"
Machine Learning Data Scientist,e.biT Consulting,"Chicago, IL"
Data Scientist - Product Enhancement,Nielsen,"Chicago, IL 60647"
Data Scientist - Client Engagment,Nielsen,"Chicago, IL 60647"
Senior Data Scientist,Conversant Media,"Chicago, IL"
Senior Data Scientist,AXIS Insurance,"Chicago, IL"
Sr Data Scientist UW,Verisk Analytics,"Chicago, IL"
"Applied Data Scientist, Commercial",Civis Analytics,"Chicago, IL"
Research Analyst (Data Science),The University of Chicago,"Chicago, IL"
Lead Data Scientist - Python SME,84.51°,"Chicago, IL"
Data Scientist,Robert Walters,"Chicago, IL"
Data Scientist Lead - PS8886,"Anthem, Inc.","Chicago, IL 60601"
Senior Data Scientist,MARC USA LLC,"Chicago, IL 60654"
"Director, Data Scientist",KPMG,"Chicago, IL 60601"
Junior Variant Scientist,Tempus,"Chicago, IL 60654"
Sr Business Analyst Reporting & Data Analysis (Remote Chicago; will consider other remote locations),Allianz Global Corporate & Specialty,"Chicago, IL"
Data Analyst - Advertising Research,Ipsos North America,"Chicago, IL"
Data Scientist,S.C. International,"Chicago, IL"
Data Scientist,Jobspring Partners,"Chicago, IL"
Machine Learning Scientist I,Expedia,"Chicago, IL 60661"
Principal Data Scientist(Clinical Data/EMR/NLP/Deep Learning)-PS10509,"Anthem, Inc.","Chicago, IL 60654"
Sr. Data Scientist: Computer Vision & Deep Learning,Allstate,"Chicago, IL 60601"
Statistical Reports Analyst/Associate Statistical Reports Analyst,Federal Reserve Bank of Chicago,"Chicago, IL"
FinTech Startup Data Scientist,Robert Half Finance & Accounting,"Chicago, IL 60606"
Manager - Cognitive Data Scientist Natural Language Processing,KPMG,"Chicago, IL 60601"
Mid Level Data Scientist (Regression/Visualization),Jobspring Partners,"Chicago, IL"
Research Data Analyst Associate,Northwestern University,"Chicago, IL"
"Mid-Level Data Scientist (Python, Pandas, NumPy, SciKit Learn, AWS)",Workbridge Associates,"Chicago, IL"
Research Scientist,NORC at the University of Chicago,"Chicago, IL"
Data Engineer,Gallup,"Chicago, IL"
"Senior Data Scientist, Supply Chain",Coyote Logistics,"Chicago, IL 60647"
Scientist 1,"Apex Companies, LLC","Chicago, IL"
Arity Junior Data Analytics Engineer,Allstate,"Chicago, IL 60601"
Research Data Analyst,JLL,"Chicago, IL"
Data Scientist / Manager Advanced Analytics,BMO Financial Group,"Chicago, IL"
"Manager, Data Scientist (AI/NLP)",KPMG,"Chicago, IL 60601"
"Director, NLP Data Scientist",KPMG,"Chicago, IL 60601"
Lead Data Scientist,Nielsen,"Chicago, IL 60647"
"Principal Data Scientist - Core Maps - Building the new Map, in a new Way",HERE Technologies,"Chicago, IL"
Tumor Organoid Scientist,Tempus,"Chicago, IL 60654"
Variant Scientist,Tempus,"Chicago, IL 60654"
Sr. Data Scientist / Data Engineer,Nielsen,"Chicago, IL 60647"
Data Engineer,Uptake,"Chicago, IL"
"Sport Scientist, Network Professional",United States Soccer Federation,"Chicago, IL 60657"
Research and Knowledge Analyst,"Skadden, Arps, Slate, Meagher & Flom LLP & Affiliates","Chicago, IL"
"Data Scientist (Machine Learning, Deep Learning)",Workbridge Associates,"Chicago, IL"
"Senior Associate, Data Scientist (NLP/AI)",KPMG,"Chicago, IL 60601"
"Sr Business Analyst, Reporting & Data Analysis (Remote Chicago)",Allianz Global Corporate & Specialty,"Chicago, IL"
Data Scientist - Senior Consultant,Clarity Insights,"Chicago, IL"
Associate / Analyst - Business Data Analysis,BMO Financial Group,"Chicago, IL"
"Senior Associate, Data Scientist",KPMG,"Chicago, IL 60601"
Sr. Principal Data Scientist - Advanced Research & Analytics,UnitedHealth Group,"Chicago, IL 60290"
Bioinformatics Scientist,Tempus,"Chicago, IL 60654"
"Analyst - Finalta, New Ventures",McKinsey & Company,"Chicago, IL"
Analyst – Database Research Department,Compass Lexecon,"Chicago, IL"
BI Analyst,NCSA - Next College Student Athlete,"Chicago, IL 60642"
Product Development Scientist I,"Simple Mills, Inc.","Chicago, IL 60654"
"Senior Applied Data Scientist, Commercial",Civis Analytics,"Chicago, IL"
Quantitative Finance Analyst,Bank of America,"Chicago, IL 60603"
Junior Scientist/Engineer,Oneida ESC Group,"Chicago, IL 60603"
Research Data Analyst Lead (Biostatistician),Northwestern University,"Chicago, IL"
Digital Marketing Data Analyst,BOEING,"Chicago, IL"
"Software Engineer, Data Visualization",Tempus,"Chicago, IL 60654"
Scientist/Associate,Exponent,"Chicago, IL 60661"
Staff Scientist,The University of Chicago,"Chicago, IL"
Data Scientist,Klein Hersh International,"Chicago, IL"
Data Engineer,AbbVie,"Chicago, IL"
Research Analyst,NORC at the University of Chicago,"Chicago, IL"
Quantitative Analyst,Nuveen,"Chicago, IL"
Telehealth Research Analyst,Ann & Robert H. Lurie Children’s Hospital of Chicago,"Chicago, IL"
Master Data Engineer,Discover Financial Services,"Chicago, IL"
Quantitative Equity Trading Research Analyst,Charles Schwab,"Chicago, IL 60601"
Associate/Scientist,Exponent,"Chicago, IL 60661"
Data Scientist,Solving IT,"Chicago, IL"
Senior Data Scientist (IoT Downtown),Jobspring Partners,"Chicago, IL"
Data Platform Engineer,Tempus,"Chicago, IL 60654"
Data Engineering Lead,Lumere,"Chicago, IL"
Senior Associate - Cognitive Data Scientist Natural Language Processing,KPMG,"Chicago, IL 60601"
Staff Scientist - Rice,The University of Chicago,"Chicago, IL"
"Senior Analyst/Data Scientist, Retail Analytics",Catalina Marketing,"Chicago, IL 60601"
Research Analyst,World Business Chicago,"Chicago, IL 60601"
Sr. Data Scientist / Manager - Prescriptive Analytics,Allstate,"Chicago, IL 60601"
Research Analyst – Social and Opinion Research,Ipsos North America,"Chicago, IL"
Research Scientist - Cancer Center,University of Illinois at Chicago,"Chicago, IL"
"Research Analyst, Hotels, Chicago",JLL,"Chicago, IL"
Business Analyst,NCSA - Next College Student Athlete,"Chicago, IL 60642"
Manager of Decision Scientist,The Marketing Store,"Chicago, IL 60603"
Research Bioengineer/ Neuroimaging Research Scientist,Rush University Medical Center,"Chicago, IL"
Marketing Research Analyst,"Phoenix Tree Publishing, Inc.","Chicago, IL 60659"
Data Operations Engineer,Tempus,"Chicago, IL 60654"
"Sales Engineer, Machine Learning, Google Cloud",Google,"Chicago, IL 60607"
Senior Manufacturing Engineer,JUUL Labs,"Chicago, IL"
Senior Software Engineer,Label Insight,"Chicago, IL"
Staff Electrical Engineer,Burns & McDonnell,"Chicago, IL 60664"
CRM Consultant/Senior Statistical Analyst,Smith Hanley Associates,"Chicago, IL"
Java Engineer (Machine Learning),Jobspring Partners,"Chicago, IL"
Application Analyst Sr. - Epic Research Functionality,Ann & Robert H. Lurie Children’s Hospital of Chicago,"Chicago, IL"
Senior Environmental Engineer / Geologist / Scientist,AECOM,"Chicago, IL 60664"
Engineering Manager,The Climate Corporation,"Chicago, IL"
Lead Engineer,HERE Technologies,"Chicago, IL"
Health Care Research Scientist,AHA American Hospital Association,"Chicago, IL"
Senior Quantitative Modeling Analyst - Finance and Treasury,BMO Financial Group,"Chicago, IL"
"Senior Software Engineer - New Ventures Technology, New Ventures",McKinsey & Company,"Chicago, IL"
Predictive Analytics/Machine Learning - Java Engineer,The Laso Corp,"Chicago, IL"
"Senior Analyst, Actuarial Risk Analytics (F)",Evolent Health,"Chicago, IL"
Quantitative Analyst- MBS Risk Models,Analytic Recruiting,"Chicago, IL"
"Senior Manager, Decision Analytics Services (Claims Analyst)",EXL,"Chicago, IL"
Senior Cyber Security Analyst,Dyson,"Chicago, IL 60654"
Quantitative Analyst Fixed Income,Analytic Recruiting,"Chicago, IL"
Senior Software Engineer - Platform Team,Fooda,"Chicago, IL 60654"
"Senior Sales Engineer- Central US - ChicagoChicago, Illinois / Full-time APPLY",Dremio,"Chicago, IL"
Sr. Epic Research Billing Application Analyst,Engage Partners,"Chicago, IL"
Senior Software Engineer,Civis Analytics,"Chicago, IL"
"Senior Analyst, Quantitative Risk Management (Model Development)",Options Clearing Corporation,"Chicago, IL"
"Post Doctoral Research Fellow, Genome Engineering - Alzheimer's",Rush University Medical Center,"Chicago, IL"
"Mid to Senior Data Engineer (Healthcare, Insurance, Finance)",Jobspring Partners,"Chicago, IL"
Sr. Software Engineer,Nielsen,"Chicago, IL 60647"
Senior Front End Engineer,SpotHero,"Chicago, IL"
Senior DevOps Engineer,Civis Analytics,"Chicago, IL"
Sr. Software Engineer (Full Stack),Nielsen,"Chicago, IL 60647"
Senior Machine Learning Engineer,ServiceNow,"Chicago, IL"
"Artificial Intelligence Engineer, Senior Associate",KPMG,"Chicago, IL 60601"
"Mid to Senior Level Data Engineer (Python, Spark, ETL)",Workbridge Associates,"Chicago, IL"
Software Engineer,Nielsen,"Chicago, IL 60647"
Experienced Data Engineer (Health tech),Jobspring Partners,"Chicago, IL"
DevOps Engineer,The University of Chicago,"Chicago, IL"
Senior Research Analyst - Competitive Intelligence,Mintel,"Chicago, IL"
"Machine Learning Engineer, Manager",KPMG,"Chicago, IL 60601"
Software Engineer II,Civis Analytics,"Chicago, IL"
Sales Engineer (Chicago),Alation Inc.,"Chicago, IL"
"Senior Analyst, Operational Risk Analytics (F)",Evolent Health,"Chicago, IL"
Staff Software Engineer,General Electric,"Chicago, IL 60601"
Senior Quantitative Finance Analyst; Development Market Risk,Bank of America,"Chicago, IL 60603"
"Sr. Manager, Data Engineering - CoE Analytical Solutions",Kraft Heinz Company,"Chicago, IL"
Food Scientist,Labtech Specialty Staffing,"Chicago, IL"
Machine Learning Engineering Manager,ServiceNow,"Chicago, IL"
Research Scientist,American Nursing Services,"Chicago, IL 60613"
Epic Research Billing Analyst,Engage Partners,"Chicago, IL"
DevOps Engineer - New Ventures Technology,McKinsey & Company,"Chicago, IL"
Full-Stack Software Engineer - New Ventures Technology,McKinsey & Company,"Chicago, IL"
Cloud Ops Engineer,The Climate Corporation,"Chicago, IL"
Cloud DevSecOps Engineer,CUNA Mutual Group,"Chicago, IL"
Experienced Quantitative Analyst - Insurance Modeling & Major Initiatives,Allstate,"Chicago, IL 60601"
"Senior Credit Research Analyst, North American Consumers & Retail - Global Credit.",Aviva,"Chicago, IL"
"Senior Digital Analyst, Decision Science",The Marketing Store,"Chicago, IL 60603"
Research Analyst (REIT) (1-294),Brokerage Consultants Inc.,"Chicago, IL 60601"
Application Analyst Sr. - Epic Research Billing,Ann & Robert H. Lurie Children’s Hospital of Chicago,"Chicago, IL"
Full Stack Engineer (Chicago),Collective Health,"Chicago, IL"
Lead Analyst - Geo Analytics,The Boston Consulting Group,"Chicago, IL 60654"
Entry-Level Electrical Engineer,Burns & McDonnell,"Chicago, IL 60664"
Sr. Business Analyst (Insights & Analytics),US Foods,"Chicago, IL"
"Research Engineer, Rush Alzheimer's Disease Center",Rush University Medical Center,"Chicago, IL"
Commissioning Engineer,dbHMS,"Chicago, IL"
Sr Quantitative Finance Analyst,Bank of America,"Chicago, IL 60603"
Senior Research Analyst,The University of Chicago,"Chicago, IL"
"Senior Software Engineer, Big Data and Machine Learning",Cars.com,"Chicago, IL"
Technical Research Analyst - Cryptoassets,DRW,"Chicago, IL"
Field Engineer,Domino Data Lab,"Chicago, IL"
"Research Professional, Sr. Analyst",The University of Chicago,"Chicago, IL"
Statistical Analyst Sr,Northwestern University,"Chicago, IL"
Senior Data Scientist,BrainWorks,"Chicago, IL"
Lead Data Engineer,Civis Analytics,"Chicago, IL"
"Principal Product Development Scientist - Chicago, IL",Mars,"Chicago, IL 60642"
Senior Statistical Analyst,US Cellular,"Chicago, IL"
"Software Engineer, Backend (Multiple levels)",The Climate Corporation,"Chicago, IL"
Data Engineer (AI),Jobspring Partners,"Chicago, IL"
Digital Marketing Analyst,Brad's Deals,"Chicago, IL"
Sr. Pentaho Big Data Engineer,CCC Information Services Inc.,"Chicago, IL 60654"
Director of Engineering,Crafty Machine,"Chicago, IL"
"Software Engineer, Machine Learning",Tempus,"Chicago, IL 60654"
Analyst - Periscope Advanced Insights - Growth Mapping,McKinsey & Company,"Chicago, IL"
Software Engineer,Label Insight,"Chicago, IL"
People Analytics Senior Analyst,Dyson,"Chicago, IL 60654"
Lead Analyst,84.51°,"Chicago, IL"
